C:\Users\admin\PycharmProjects\HackTheFuture\.venv\Scripts\python.exe C:\Users\admin\PycharmProjects\HackTheFuture\clothing_condition_classifier.py 
Dataset structure is valid. Proceeding with training...
Total images in dataset: 16417
Training samples: 11491, Validation samples: 2461, Test samples: 2465
Using device: cpu
Epoch 1 | Batch 0/90 - Loss: 1.0887 | Train Acc: 32.81%
Epoch 1 | Batch 5/90 - Loss: 0.2855 | Train Acc: 87.11%
Epoch 1 | Batch 10/90 - Loss: 0.0707 | Train Acc: 92.76%
Epoch 1 | Batch 15/90 - Loss: 0.0394 | Train Acc: 94.68%
Epoch 1 | Batch 20/90 - Loss: 0.1241 | Train Acc: 95.80%
Epoch 1 | Batch 25/90 - Loss: 0.0048 | Train Acc: 96.51%
Epoch 1 | Batch 30/90 - Loss: 0.0456 | Train Acc: 96.85%
Epoch 1 | Batch 35/90 - Loss: 0.0386 | Train Acc: 97.14%
Epoch 1 | Batch 40/90 - Loss: 0.0442 | Train Acc: 97.37%
Epoch 1 | Batch 45/90 - Loss: 0.0272 | Train Acc: 97.54%
Epoch 1 | Batch 50/90 - Loss: 0.0816 | Train Acc: 97.66%
Epoch 1 | Batch 55/90 - Loss: 0.0524 | Train Acc: 97.75%
Epoch 1 | Batch 60/90 - Loss: 0.0127 | Train Acc: 97.89%
Epoch 1 | Batch 65/90 - Loss: 0.0317 | Train Acc: 97.99%
Epoch 1 | Batch 70/90 - Loss: 0.0048 | Train Acc: 98.07%
Epoch 1 | Batch 75/90 - Loss: 0.3093 | Train Acc: 98.11%
Epoch 1 | Batch 80/90 - Loss: 0.0238 | Train Acc: 98.18%
Epoch 1 | Batch 85/90 - Loss: 0.0280 | Train Acc: 98.22%
Epoch 1/5 | Train Acc: 98.24% | Val Acc: 60.14% | Val Loss: 68.8211
Epoch 2 | Batch 0/90 - Loss: 0.0403 | Train Acc: 98.44%
Epoch 2 | Batch 5/90 - Loss: 0.0109 | Train Acc: 99.22%
Epoch 2 | Batch 10/90 - Loss: 0.0556 | Train Acc: 99.29%
Epoch 2 | Batch 15/90 - Loss: 0.0058 | Train Acc: 99.32%
Epoch 2 | Batch 20/90 - Loss: 0.0085 | Train Acc: 99.29%
Epoch 2 | Batch 25/90 - Loss: 0.1086 | Train Acc: 99.19%
Epoch 2 | Batch 30/90 - Loss: 0.0133 | Train Acc: 99.19%
Epoch 2 | Batch 35/90 - Loss: 0.0041 | Train Acc: 99.22%
Epoch 2 | Batch 40/90 - Loss: 0.0038 | Train Acc: 99.24%
Epoch 2 | Batch 45/90 - Loss: 0.0224 | Train Acc: 99.22%
Epoch 2 | Batch 50/90 - Loss: 0.0987 | Train Acc: 99.19%
Epoch 2 | Batch 55/90 - Loss: 0.0349 | Train Acc: 99.18%
Epoch 2 | Batch 60/90 - Loss: 0.0350 | Train Acc: 99.18%
Epoch 2 | Batch 65/90 - Loss: 0.0133 | Train Acc: 99.17%
Epoch 2 | Batch 70/90 - Loss: 0.0149 | Train Acc: 99.15%
Epoch 2 | Batch 75/90 - Loss: 0.0010 | Train Acc: 99.16%
Epoch 2 | Batch 80/90 - Loss: 0.0144 | Train Acc: 99.16%
Epoch 2 | Batch 85/90 - Loss: 0.0024 | Train Acc: 99.16%
Epoch 2/5 | Train Acc: 99.16% | Val Acc: 99.31% | Val Loss: 1.1030
Epoch 3 | Batch 0/90 - Loss: 0.0180 | Train Acc: 100.00%
Epoch 3 | Batch 5/90 - Loss: 0.0272 | Train Acc: 99.61%
Epoch 3 | Batch 10/90 - Loss: 0.0024 | Train Acc: 99.43%
Epoch 3 | Batch 15/90 - Loss: 0.0525 | Train Acc: 99.32%
Epoch 3 | Batch 20/90 - Loss: 0.0597 | Train Acc: 99.18%
Epoch 3 | Batch 25/90 - Loss: 0.0402 | Train Acc: 99.13%
Epoch 3 | Batch 30/90 - Loss: 0.0067 | Train Acc: 99.22%
Epoch 3 | Batch 35/90 - Loss: 0.0197 | Train Acc: 99.26%
Epoch 3 | Batch 40/90 - Loss: 0.0217 | Train Acc: 99.22%
Epoch 3 | Batch 45/90 - Loss: 0.0106 | Train Acc: 99.24%
Epoch 3 | Batch 50/90 - Loss: 0.0113 | Train Acc: 99.16%
Epoch 3 | Batch 55/90 - Loss: 0.0098 | Train Acc: 99.15%
Epoch 3 | Batch 60/90 - Loss: 0.0519 | Train Acc: 99.17%
Epoch 3 | Batch 65/90 - Loss: 0.0477 | Train Acc: 99.16%
Epoch 3 | Batch 70/90 - Loss: 0.0389 | Train Acc: 99.17%
Epoch 3 | Batch 75/90 - Loss: 0.0299 | Train Acc: 99.17%
Epoch 3 | Batch 80/90 - Loss: 0.0041 | Train Acc: 99.21%
Epoch 3 | Batch 85/90 - Loss: 0.0065 | Train Acc: 99.22%
Epoch 3/5 | Train Acc: 99.25% | Val Acc: 99.31% | Val Loss: 1.4915
Epoch 4 | Batch 0/90 - Loss: 0.0109 | Train Acc: 99.22%
Epoch 4 | Batch 5/90 - Loss: 0.0111 | Train Acc: 98.57%
Epoch 4 | Batch 10/90 - Loss: 0.0013 | Train Acc: 99.01%
Epoch 4 | Batch 15/90 - Loss: 0.0088 | Train Acc: 99.07%
Epoch 4 | Batch 20/90 - Loss: 0.0149 | Train Acc: 99.14%
Epoch 4 | Batch 25/90 - Loss: 0.0603 | Train Acc: 99.13%
Epoch 4 | Batch 30/90 - Loss: 0.0476 | Train Acc: 99.07%
Epoch 4 | Batch 35/90 - Loss: 0.1373 | Train Acc: 98.98%
Epoch 4 | Batch 40/90 - Loss: 0.0058 | Train Acc: 99.03%
Epoch 4 | Batch 45/90 - Loss: 0.0266 | Train Acc: 99.03%
Epoch 4 | Batch 50/90 - Loss: 0.0112 | Train Acc: 99.05%
Epoch 4 | Batch 55/90 - Loss: 0.0578 | Train Acc: 99.05%
Epoch 4 | Batch 60/90 - Loss: 0.0315 | Train Acc: 99.09%
Epoch 4 | Batch 65/90 - Loss: 0.0147 | Train Acc: 99.09%
Epoch 4 | Batch 70/90 - Loss: 0.0108 | Train Acc: 99.09%
Epoch 4 | Batch 75/90 - Loss: 0.0315 | Train Acc: 99.10%
Epoch 4 | Batch 80/90 - Loss: 0.0092 | Train Acc: 99.09%
Epoch 4 | Batch 85/90 - Loss: 0.0093 | Train Acc: 99.10%
Epoch 4/5 | Train Acc: 99.13% | Val Acc: 99.35% | Val Loss: 1.1922
Epoch 5 | Batch 0/90 - Loss: 0.0176 | Train Acc: 99.22%
Epoch 5 | Batch 5/90 - Loss: 0.0023 | Train Acc: 99.61%
Epoch 5 | Batch 10/90 - Loss: 0.0031 | Train Acc: 99.57%
Epoch 5 | Batch 15/90 - Loss: 0.0152 | Train Acc: 99.37%
Epoch 5 | Batch 20/90 - Loss: 0.0289 | Train Acc: 99.37%
Epoch 5 | Batch 25/90 - Loss: 0.0108 | Train Acc: 99.31%
Epoch 5 | Batch 30/90 - Loss: 0.0410 | Train Acc: 99.24%
Epoch 5 | Batch 35/90 - Loss: 0.0107 | Train Acc: 99.33%
